mcc,description,category
3171,CANADIAN AIRLINES INTERNATIONAL,Travel
3172,NATIONAIR,Travel
3173,Airlines,Travel
3174,Airlines,Travel
3175,Airlines,Travel
3176,METROFLIGHT AIRLINES,Travel
3177,Airlines,Travel
3178,MESA AIR,Travel
3179,Airlines,Travel
3180,Airlines,Travel
3181,MALEV,Travel
3182,LOT (POLAND),Travel
3183,Airlines,Travel
3184,LIAT,Travel
3185,LAV (VENEZUELA),Travel
3186,LAP (PARAGUAY),Travel
3187,LACSA (COSTA RICA),Travel
3188,Airlines,Travel
3189,Airlines,Travel
3190,JUGOSLAV AIR,Travel
3191,ISLAND AIRLINES,Travel
3192,IRAN AIR,Travel
3193,INDIAN AIRLINES,Travel
3194,Airlines,Travel
3195,Airlines,Travel
3196,HAWAIIAN AIR,Travel
3197,HAVASU AIRLINES,Travel
3198,Airlines,Travel
3199,Airlines,Travel
3200,FUYANA AIRWAYS,Travel
3201,Airlines,Travel
3202,Airlines,Travel
3203,GOLDEN PACIFIC AIR,Travel
3204,FREEDOM AIR,Travel
3205,Airlines,Travel
3206,Airlines,Travel
3207,Airlines,Travel
3208,Airlines,Travel
3209,Airlines,Travel
3210,Airlines,Travel
3211,Airlines,Travel
3212,DOMINICANA,Travel
3213,Airlines,Travel
3214,Airlines,Travel
3215,DAN AIR SERVICES,Travel
3216,CUMBERLAND AIRLINES,Travel
3217,CSA,Travel
3218,CROWN AIR,Travel
3219,COPA,Travel
3220,COMPANIA FAUCETT,Travel
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,Travel
3222,COMMAND AIRWAYS,Travel
3223,COMAIR,Travel
3224,Airlines,Travel
3225,Airlines,Travel
3226,Airlines,Travel
3227,Airlines,Travel
3228,CAYMAN AIRWAYS,Travel
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,Travel
3230,Airlines,Travel
3231,SASHA SERVICIO AERO DE HONDURAS,Travel
3232,Airlines,Travel
3233,CAPITOL AIR,Travel
3234,BWIA,Travel
3235,BROKWAY AIR,Travel
3236,Airlines,Travel
3237,Airlines,Travel
3238,BEMIDJI AIRLINES,Travel
3239,BAR HARBOR AIRLINES,Travel
3240,BAHAMASAIR,Travel
3241,AVIATECA (GUATEMALA),Travel
3242,AVENSA,Travel
3243,AUSTRIAN AIR SERVICE,Travel
3244,Airlines,Travel
3245,Airlines,Travel
3246,Airlines,Travel
3247,Airlines,Travel
3248,Airlines,Travel
3249,Airlines,Travel
3250,Airlines,Travel
3251,ALOHA AIRLINES,Travel
3252,ALM,Travel
3253,AMERICA WEST,Travel
3254,TRUMP AIRLINE,Travel
3255,Airlines,Travel
3256,ALASKA AIRLINES,Travel
3257,Airlines,Travel
3258,Airlines,Travel
3259,AMERICAN TRANS AIR,Travel
3260,Airlines,Travel
3261,AIR CHINA,Travel
3262,"RENO AIR, INC.",Travel
3263,Airlines,Travel
3264,Airlines,Travel
3265,Airlines,Travel
3266,AIR SEYCHELLES,Travel
3267,AIR PANAMA,Travel
3268,Airlines,Travel
3269,Airlines,Travel
3270,Airlines,Travel
3271,Airlines,Travel
3272,Airlines,Travel
3273,Airlines,Travel
3274,Airlines,Travel
3275,Airlines,Travel
3276,Airlines,Travel
3277,Airlines,Travel
3278,Airlines,Travel
3279,Airlines,Travel
3280,AIR JAMAICA,Travel
3281,Airlines,Travel
3282,AIR DJIBOUTI,Travel
3283,Airlines,Travel
3284,AERO VIRGIN ISLANDS,Travel
3285,AERO PERU,Travel
3286,AEROLINEAS NICARAGUENSIS,Travel
3287,AERO COACH AVAIATION,Travel
3288,Airlines,Travel
3289,Airlines,Travel
3290,Airlines,Travel
3291,ARIANA AFGHAN,Travel
3292,CYPRUS AIRWAYS,Travel
3293,ECUATORIANA,Travel
3294,ETHIOPIAN AIRLINES,Travel
3295,KENYA AIRLINES,Travel
3296,Airlines,Travel
3297,Airlines,Travel
3298,AIR MAURITIUS,Travel
3299,WIDERO'S FLYVESELSKAP,Travel
3351,AFFILIATED AUTO RENTAL,Travel
3352,AMERICAN INTL RENT-A-CAR,Travel
3353,BROOKS RENT-A-CAR,Travel
3354,ACTION AUTO RENTAL,Travel
3355,Car Rental,Travel
3356,Car Rental,Travel
3357,HERTZ RENT-A-CAR,Travel
3358,Car Rental,Travel
3359,PAYLESS CAR RENTAL,Travel
3360,SNAPPY CAR RENTAL,Travel
3361,AIRWAYS RENT-A-CAR,Travel
3362,ALTRA AUTO RENTAL,Travel
3363,Car Rental,Travel
3364,AGENCY RENT-A-CAR,Travel
3365,Car Rental,Travel
3366,BUDGET RENT-A-CAR,Travel
3367,Car Rental,Travel
3368,HOLIDAY RENT-A-WRECK,Travel
3369,Car Rental,Travel
3370,RENT-A-WRECK,Travel
3371,Car Rental,Travel
3372,Car Rental,Travel
3373,Car Rental,Travel
3374,Car Rental,Travel
3375,Car Rental,Travel
3376,AJAX RENT-A-CAR,Travel
3377,Car Rental,Travel
3378,Car Rental,Travel
3379,Car Rental,Travel
3380,Car Rental,Travel
3381,EUROP CAR,Travel
3382,Car Rental,Travel
3383,Car Rental,Travel
3384,Car Rental,Travel
3385,TROPICAL RENT-A-CAR,Travel
3386,SHOWCASE RENTAL CARS,Travel
3387,ALAMO RENT-A-CAR,Travel
3388,Car Rental,Travel
3389,AVIS RENT-A-CAR,Travel
3390,DOLLAR RENT-A-CAR,Travel
3391,EUROPE BY CAR,Travel
3392,Car Rental,Travel
3393,NATIONAL CAR RENTAL,Travel
3394,KEMWELL GROUP RENT-A-CAR,Travel
3395,THRIFTY RENT-A-CAR,Travel
3396,TILDEN TENT-A-CAR,Travel
3397,Car Rental,Travel
3398,ECONO-CAR RENT-A-CAR,Travel
3399,Car Rental,Travel
3400,AUTO HOST COST CAR RENTALS,Travel
3401,Car Rental,Travel
3402,Car Rental,Travel
3403,Car Rental,Travel
3404,Car Rental,Travel
3405,ENTERPRISE RENT-A-CAR,Travel
3406,Car Rental,Travel
3407,Car Rental,Travel
3408,Car Rental,Travel
3409,GENERAL RENT-A-CAR,Travel
3410,Car Rental,Travel
3411,Car Rental,Travel
3412,A-1 RENT-A-CAR,Travel
3413,Car Rental,Travel
3414,GODFREY NATL RENT-A-CAR,Travel
3415,Car Rental,Travel
3416,Car Rental,Travel
3417,Car Rental,Travel
3418,Car Rental,Travel
3419,ALPHA RENT-A-CAR,Travel
3420,ANSA INTL RENT-A-CAR,Travel
3421,ALLSTAE RENT-A-CAR,Travel
3422,Car Rental,Travel
3423,AVCAR RENT-A-CAR,Travel
3424,Car Rental,Travel
3425,AUTOMATE RENT-A-CAR,Travel
3426,Car Rental,Travel
3427,AVON RENT-A-CAR,Travel
3428,CAREY RENT-A-CAR,Travel
3429,INSURANCE RENT-A-CAR,Travel
3430,MAJOR RENT-A-CAR,Travel
3431,REPLACEMENT RENT-A-CAR,Travel
3432,RESERVE RENT-A-CAR,Travel
3433,UGLY DUCKLING RENT-A-CAR,Travel
3434,USA RENT-A-CAR,Travel
3435,VALUE RENT-A-CAR,Travel
3436,AUTOHANSA RENT-A-CAR,Travel
3437,CITE RENT-A-CAR,Travel
3438,INTERENT RENT-A-CAR,Travel
3439,MILLEVILLE RENT-A-CAR,Travel
3440,VIA ROUTE RENT-A-CAR,Travel
3441,Car Rental,Travel
3501,"HOLIDAY INNS, HOLIDAY INN EXPRESS",Travel
3502,BEST WESTERN HOTELS,Travel
3503,SHERATON HOTELS,Travel
3504,HILTON HOTELS,Travel
3505,FORTE HOTELS,Travel
3506,GOLDEN TULIP HOTELS,Travel
3507,FRIENDSHIP INNS,Travel
3508,"QUALITY INNS, QUALITY SUITES",Travel
3509,MARRIOTT HOTELS,Travel
3510,"DAYS INN, DAYSTOP",Travel
3511,ARABELLA HOTELS,Travel
3512,INTER-CONTINENTAL HOTELS,Travel
3513,WESTIN HOTELS,Travel
3514,Hotels/Motels/Inns/Resorts,Travel
3515,RODEWAY INNS,Travel
3516,LA QUINTA MOTOR INNS,Travel
3517,AMERICANA HOTELS,Travel
3518,SOL HOTELS,Travel
3519,PULLMAN INTERNATIONAL HOTELS,Travel
3520,MERIDIEN HOTELS,Travel
3521,CREST HOTELS (see FORTE HOTELS),Travel
3522,TOKYO HOTEL,Travel
3523,PENNSULA HOTEL,Travel
3524,WELCOMGROUP HOTELS,Travel
3525,DUNFEY HOTELS,Travel
3526,Hotels/Motels/Inns/Resorts,Travel
3527,DOWNTOWNER-PASSPORT HOTEL,Travel
3528,"RED LION HOTELS, RED LION INNS",Travel
3529,CP HOTELS,Travel
3530,"RENAISSANCE HOTELS, STOUFFER HOTELS",Travel
3531,ASTIR HOTELS,Travel
3532,SUN ROUTE HOTELS,Travel
3533,HOTEL IBIS,Travel
3534,SOUTHERN PACIFIC HOTELS,Travel
3535,HILTON INTERNATIONAL,Travel
3536,AMFAC HOTELS,Travel
3537,ANA HOTEL,Travel
3538,CONCORDE HOTELS,Travel
3539,Hotels/Motels/Inns/Resorts,Travel
3540,IBEROTEL HOTELS,Travel
3541,HOTEL OKURA,Travel
3542,ROYAL HOTELS,Travel
3543,FOUR SEASONS HOTELS,Travel
3544,CIGA HOTELS,Travel
3545,SHANGRI-LA INTERNATIONAL,Travel
3546,Hotels/Motels/Inns/Resorts,Travel
3547,Hotels/Motels/Inns/Resorts,Travel
3548,HOTELES MELIA,Travel
3549,AUBERGE DES GOVERNEURS,Travel
3550,REGAL 8 INNS,Travel
3551,Hotels/Motels/Inns/Resorts,Travel
3552,COAST HOTELS,Travel
3553,PARK INNS INTERNATIONAL,Travel
3554,Hotels/Motels/Inns/Resorts,Travel
3555,Hotels/Motels/Inns/Resorts,Travel
3556,Hotels/Motels/Inns/Resorts,Travel
3557,Hotels/Motels/Inns/Resorts,Travel
3558,JOLLY HOTELS,Travel
3559,Hotels/Motels/Inns/Resorts,Travel
3560,Hotels/Motels/Inns/Resorts,Travel
3561,Hotels/Motels/Inns/Resorts,Travel
3562,COMFORT INNS,Travel
3563,JOURNEY'S END MOTLS,Travel
3564,Hotels/Motels/Inns/Resorts,Travel
3565,RELAX INNS,Travel
3566,Hotels/Motels/Inns/Resorts,Travel
3567,Hotels/Motels/Inns/Resorts,Travel
3568,LADBROKE HOTELS,Travel
3569,Hotels/Motels/Inns/Resorts,Travel
3570,FORUM HOTELS,Travel
3571,Hotels/Motels/Inns/Resorts,Travel
3572,MIYAKO HOTELS,Travel
3573,SANDMAN HOTELS,Travel
3574,VENTURE INNS,Travel
3575,VAGABOND HOTELS,Travel
3576,Hotels/Motels/Inns/Resorts,Travel
3577,MANDARIN ORIENTAL HOTEL,Travel
3578,Hotels/Motels/Inns/Resorts,Travel
3579,HOTEL MERCURE,Travel
3580,Hotels/Motels/Inns/Resorts,Travel
3581,DELTA HOTEL,Travel
3582,Hotels/Motels/Inns/Resorts,Travel
3583,SAS HOTELS,Travel
3584,PRINCESS HOTELS INTERNATIONAL,Travel
3585,HUNGAR HOTELS,Travel
3586,SOKOS HOTELS,Travel
3587,DORAL HOTELS,Travel
3588,HELMSLEY HOTELS,Travel
3589,Hotels/Motels/Inns/Resorts,Travel
3590,FAIRMONT HOTELS,Travel
3591,SONESTA HOTELS,Travel
3592,OMNI HOTELS,Travel
3593,CUNARD HOTELS,Travel
3594,Hotels/Motels/Inns/Resorts,Travel
3595,HOSPITALITY INTERNATIONAL,Travel
3596,Hotels/Motels/Inns/Resorts,Travel
3597,Hotels/Motels/Inns/Resorts,Travel
3598,REGENT INTERNATIONAL HOTELS,Travel
3599,PANNONIA HOTELS,Travel
3600,Hotels/Motels/Inns/Resorts,Travel
3601,Hotels/Motels/Inns/Resorts,Travel
3602,Hotels/Motels/Inns/Resorts,Travel
3603,NOAH'S HOTELS,Travel
3604,Hotels/Motels/Inns/Resorts,Travel
3605,Hotels/Motels/Inns/Resorts,Travel
3606,Hotels/Motels/Inns/Resorts,Travel
3607,Hotels/Motels/Inns/Resorts,Travel
3608,Hotels/Motels/Inns/Resorts,Travel
3609,Hotels/Motels/Inns/Resorts,Travel
3610,Hotels/Motels/Inns/Resorts,Travel
3611,Hotels/Motels/Inns/Resorts,Travel
3612,MOVENPICK HOTELS,Travel
3613,Hotels/Motels/Inns/Resorts,Travel
3614,Hotels/Motels/Inns/Resorts,Travel
3615,TRAVELODGE,Travel
3616,Hotels/Motels/Inns/Resorts,Travel
3617,Hotels/Motels/Inns/Resorts,Travel
3618,Hotels/Motels/Inns/Resorts,Travel
3619,Hotels/Motels/Inns/Resorts,Travel
3620,TELFORD INTERNATIONAL,Travel
3621,Hotels/Motels/Inns/Resorts,Travel
3622,MERLIN HOTELS,Travel
3623,DORINT HOTELS,Travel
3624,Hotels/Motels/Inns/Resorts,Travel
3625,HOTLE UNIVERSALE,Travel
3626,PRINCE HOTELS,Travel
3627,Hotels/Motels/Inns/Resorts,Travel
3628,Hotels/Motels/Inns/Resorts,Travel
3629,DAN HOTELS,Travel
3630,Hotels/Motels/Inns/Resorts,Travel
3631,Hotels/Motels/Inns/Resorts,Travel
3632,Hotels/Motels/Inns/Resorts,Travel
3633,RANK HOTELS,Travel
3634,SWISSOTEL,Travel
3635,RESO HOTELS,Travel
3636,SAROVA HOTELS,Travel
3637,"RAMADA INNS, RAMADA LIMITED",Travel
3638,"HO JO INN, HOWARD JOHNSON",Travel
3639,MOUNT CHARLOTTE THISTLE,Travel
3640,HYATT HOTEL,Travel
3641,SOFITEL HOTELS,Travel
3642,NOVOTEL HOTELS,Travel
3643,STEIGENBERGER HOTELS,Travel
3644,ECONO LODGES,Travel
3645,QUEENS MOAT HOUSES,Travel
3646,SWALLOW HOTELS,Travel
3647,HUSA HOTELS,Travel
3648,DE VERE HOTELS,Travel
3649,RADISSON HOTELS,Travel
3650,RED ROOK INNS,Travel
3651,IMPERIAL LONDON HOTEL,Travel
3652,EMBASSY HOTELS,Travel
3653,PENTA HOTELS,Travel
3654,LOEWS HOTELS,Travel
3655,SCANDIC HOTELS,Travel
3656,SARA HOTELS,Travel
3657,OBEROI HOTELS,Travel
3658,OTANI HOTELS,Travel
3659,TAJ HOTELS INTERNATIONAL,Travel
3660,KNIGHTS INNS,Travel
3661,METROPOLE HOTELS,Travel
3662,Hotels/Motels/Inns/Resorts,Travel
3663,HOTELES EL PRESIDENTS,Travel
3664,FLAG INN,Travel
3665,HAMPTON INNS,Travel
3666,STAKIS HOTELS,Travel
3667,Hotels/Motels/Inns/Resorts,Travel
3668,MARITIM HOTELS,Travel
3669,Hotels/Motels/Inns/Resorts,Travel
3670,ARCARD HOTELS,Travel
3671,ARCTIA HOTELS,Travel
3672,CAMPANIEL HOTELS,Travel
3673,IBUSZ HOTELS,Travel
3674,RANTASIPI HOTELS,Travel
3675,INTERHOTEL CEDOK,Travel
3676,Hotels/Motels/Inns/Resorts,Travel
3677,CLIMAT DE FRANCE HOTELS,Travel
3678,CUMULUS HOTELS,Travel
3679,DANUBIUS HOTEL,Travel
3680,Hotels/Motels/Inns/Resorts,Travel
3681,ADAMS MARK HOTELS,Travel
3682,ALLSTAR INNS,Travel
3683,Hotels/Motels/Inns/Resorts,Travel
3684,BUDGET HOST INNS,Travel
3685,BUDGETEL HOTELS,Travel
3686,SUISSE CHALETS,Travel
3687,CLARION HOTELS,Travel
3688,COMPRI HOTELS,Travel
3689,CONSORT HOTELS,Travel
3690,COURTYARD BY MARRIOTT,Travel
3691,DILLION INNS,Travel
3692,DOUBLETREE HOTELS,Travel
3693,DRURY INNS,Travel
3694,ECONOMY INNS OF AMERICA,Travel
3695,EMBASSY SUITES,Travel
3696,EXEL INNS,Travel
3697,FARFIELD HOTELS,Travel
3698,HARLEY HOTELS,Travel
3699,MIDWAY MOTOR LODGE,Travel
3700,MOTEL 6,Travel
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),Travel
3702,THE REGISTRY HOTELS,Travel
3703,RESIDENCE INNS,Travel
3704,ROYCE HOTELS,Travel
3705,SANDMAN INNS,Travel
3706,SHILO INNS,Travel
3707,SHONEY'S INNS,Travel
3708,Hotels/Motels/Inns/Resorts,Travel
3709,SUPER8 MOTELS,Travel
3710,THE RITZ CARLTON HOTELS,Travel
3711,FLAG INNS (AUSRALIA),Travel
3712,GOLDEN CHAIN HOTEL,Travel
3713,QUALITY PACIFIC HOTEL,Travel
3714,FOUR SEASONS HOTEL (AUSTRALIA),Travel
3715,FARIFIELD INN,Travel
3716,CARLTON HOTELS,Travel
3717,CITY LODGE HOTELS,Travel
3718,KAROS HOTELS,Travel
3719,PROTEA HOTELS,Travel
3720,SOUTHERN SUN HOTELS,Travel
3721,HILTON CONRAD,Travel
3722,WYNDHAM HOTEL AND RESORTS,Travel
3723,RICA HOTELS,Travel
3724,INER NOR HOTELS,Travel
3725,SEAINES PLANATION,Travel
3726,RIO SUITES,Travel
3727,BROADMOOR HOTEL,Travel
3728,BALLY'S HOTEL AND CASINO,Travel
3729,JOHN ASCUAGA'S NUGGET,Travel
3730,MGM GRAND HOTEL,Travel
3731,HARRAH'S HOTELS AND CASINOS,Travel
3732,OPRYLAND HOTEL,Travel
3733,BOCA RATON RESORT,Travel
3734,HARVEY/BRISTOL HOTELS,Travel
3735,Hotels/Motels/Inns/Resorts,Travel
3736,COLORADO BELLE/EDGEWATER RESORT,Travel
3737,RIVIERA HOTEL AND CASINO,Travel
3738,TROPICANA RESORT AND CASINO,Travel
3739,WOODSIDE HOTELS AND RESORTS,Travel
3740,TOWNPLACE SUITES,Travel
3741,MILLENIUM BROADWAY HOTEL,Travel
3742,CLUB MED,Travel
3743,BILTMORE HOTEL AND SUITES,Travel
3744,CAREFREE RESORTS,Travel
3745,ST. REGIS HOTEL,Travel
3746,THE ELIOT HOTEL,Travel
3747,CLUBCORP/CLUB RESORTS,Travel
3748,WELESLEY INNS,Travel
3749,THE BEVERLY HILLS HOTEL,Travel
3750,CROWNE PLAZA HOTELS,Travel
3751,HOMEWOOD SUITES,Travel
3752,PEABODY HOTELS,Travel
3753,GREENBRIAH RESORTS,Travel
3754,AMELIA ISLAND PLANATION,Travel
3755,THE HOMESTEAD,Travel
3756,SOUTH SEAS RESORTS,Travel
3757,Hotels/Motels/Inns/Resorts,Travel
3758,Hotels/Motels/Inns/Resorts,Travel
3759,Hotels/Motels/Inns/Resorts,Travel
3760,Hotels/Motels/Inns/Resorts,Travel
3761,Hotels/Motels/Inns/Resorts,Travel
3762,Hotels/Motels/Inns/Resorts,Travel
3763,Hotels/Motels/Inns/Resorts,Travel
3764,Hotels/Motels/Inns/Resorts,Travel
3765,Hotels/Motels/Inns/Resorts,Travel
3766,Hotels/Motels/Inns/Resorts,Travel
3767,Hotels/Motels/Inns/Resorts,Travel
3768,Hotels/Motels/Inns/Resorts,Travel
3769,Hotels/Motels/Inns/Resorts,Travel
3770,Hotels/Motels/Inns/Resorts,Travel
3771,Hotels/Motels/Inns/Resorts,Travel
3772,Hotels/Motels/Inns/Resorts,Travel
3773,Hotels/Motels/Inns/Resorts,Travel
3774,Hotels/Motels/Inns/Resorts,Travel
3775,Hotels/Motels/Inns/Resorts,Travel
3776,Hotels/Motels/Inns/Resorts,Travel
3777,Hotels/Motels/Inns/Resorts,Travel
3778,Hotels/Motels/Inns/Resorts,Travel
3779,Hotels/Motels/Inns/Resorts,Travel
3780,Hotels/Motels/Inns/Resorts,Travel
3781,Hotels/Motels/Inns/Resorts,Travel
3782,Hotels/Motels/Inns/Resorts,Travel
3783,Hotels/Motels/Inns/Resorts,Travel
3784,Hotels/Motels/Inns/Resorts,Travel
3785,Hotels/Motels/Inns/Resorts,Travel
3786,Hotels/Motels/Inns/Resorts,Travel
3787,Hotels/Motels/Inns/Resorts,Travel
3788,Hotels/Motels/Inns/Resorts,Travel
3789,Hotels/Motels/Inns/Resorts,Travel
3790,Hotels/Motels/Inns/Resorts,Travel
3816,Home2Suites,Travel
3835,* MASTERS ECONOMY INNS,Travel
4011,Railroads,Transportation
4111,"Local/Suburban Commuter Passenger Transportation - Railroads, Ferries, Local Water Transportation.",Transportation
4112,Passenger Railways,Transportation
4119,Ambulance Services,Transportation
4121,Taxicabs and Limousines,Transportation
4131,"Bus Lines, Including Charters, Tour Buses",Transportation
